Country;Peak;Elevation
China;Mount Everest;8849
Nepal;Mount Everest;8849
Pakistan;K2;8614
India;Kangchenjunga;8586
Bhutan;Gangkar Punsum;7570
Tajikistan;Pik Ismail Samani;7495
Afghanistan;Noshaq;7492
Kyrgyzstan;Pik Pobeda;7439
Kazakhstan;Khan Tengri;7010
Argentina;Aconcagua;6962
Chile;Ojos del Salado;6893
Peru;Nevado Huascarán;6768
Bolivia;Nevado Sajama;6542
Ecuador;Volcán Chimborazo;6267
United States;Denali;6190
Canada;Mount Logan;5956
Tanzania;Kilimanjaro;5895
Myanmar;Hkakabo Razi;5881
Colombia;Pico Cristóbal Colón;5730
Russia;Elbrus;5642
Mexico;Pico de Orizaba;5636
Iran;Damavand;5609
Kenya;Mount Kenya;5199
Georgia;Shkhara;5193
Turkey;Mount Ararat;5137
Congo DRC;Mount Stanley;5109
Uganda;Mount Stanley;5109
Venezuela;Pico Bolívar;4981
Antarctica;Vinson Massif;4892
Indonesia;Carstensz Pyramid;4884
France;Mont Blanc;4810
Italy;Mont Blanc;4810
Uzbekistan;Khazret Sultan;4643
Switzerland;Monte Rosa;4634
Ethiopia;Ras Dashen;4543
Papua New Guinea;Mount Wilhelm;4509
Rwanda;Volcan Karisimbi;4507
Azerbaijan;Bazar Dyuzi;4466
Mongolia;Khüiten Peak;4356
Guatemala;Volcán Tajumulco;4220
Morocco;Jebel Toubkal;4167
Malaysia;Kinabalu;4095
Armenia;Aragats Lerr;4090
Cameroon;Mount Cameroon;4040
Taiwan;Yushan;3951
Costa Rica;Cerro Chirripó;3819
Austria;Großglockner;3798
Japan;Fuji-san;3776
New Zealand;Mount Cook;3724
Spain;Pico de Teide;3718
Greenland;Gunnbjørn Fjeld;3694
Yemen;Jabal an Nabi Shu'ayb;3666
Iraq;Cheekha Dar;3611
Lesotho;Thabana Ntlenyana;3482
Panama;Volcán Barú;3474
South Africa;Mafadi;3451
Chad;Emi Koussi;3445
South Sudan;Kinyeti;3187
Vietnam;Fan Si Pan;3142
Turkmenistan;Ayrybaba;3139
Dominican Republic;Pico Duarte;3098
Lebanon;Qurnat as Sawda;3088
Reunion;Piton des Neiges;3071
Oman;Jebel Shams;3018
Eritrea;Soira;3018
